node,time,head
N1,0,27.995381198376123
N1,1,27.598417600971157
N1,2,27.280107714787363
N1,3,26.960874068278795
N1,4,26.561139189899503
N1,5,27.670355417981696
N1,6,27.392432843801767
N1,7,26.271560982400743
N1,8,26.7325613938621
N1,9,26.05308182866985
N1,10,26.751739537035284
N1,11,27.95970385621473
N1,12,29.213584310300885
N1,13,30.488138450428046
N1,14,30.24755490897078
N1,15,30.868985254213673
N1,16,30.472675398984293
N1,17,29.35180353758327
N1,18,28.082295447014364
N1,19,26.89410019655232
N1,20,25.866826117862004
N1,21,26.80820358656772
N1,22,26.678317297153416
N1,23,27.87254562630232
N2,0,27.995381198376123
N2,1,27.598417600971153
N2,2,27.280107714787363
N2,3,26.960874068278795
N2,4,26.561139189899503
N2,5,26.046483916407002
N2,6,27.392432843801767
N2,7,26.271560982400743
N2,8,25.048958497859534
N2,9,26.05308182866985
N2,10,25.069358164314814
N2,11,26.354261972708272
N2,12,27.668912499415566
N2,13,29.00760628240754
N2,14,30.24755490897078
N2,15,29.410702281745834
N2,16,30.472675398984293
N2,17,29.35180353758327
N2,18,28.082295447014364
N2,19,26.89410019655232
N2,20,25.866826117862004
N2,21,25.12941860743354
N2,22,26.678317297153416
N2,23,26.261552329079585
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,27.602112642270257
T1,2,27.283802756086466
T1,3,26.965492869902675
T1,4,26.567605512172936
T1,5,26.010563211351304
T1,6,27.41539578210031
T1,7,26.301311180457038
T1,8,25.028071635721876
T1,9,26.073633749832723
T1,10,25.039126619735402
T1,11,26.32263142234062
T1,12,27.635971602347272
T1,13,28.977256404648596
T1,14,30.26328479586232
T1,15,29.387932608856893
T1,16,30.495638337282834
T1,17,29.381553735639567
T1,18,28.108314190904405
T1,19,26.914652117715193
T1,20,25.88014498761787
T1,21,25.084370272158395
T1,22,26.683859859102075
T1,23,26.20639502982639
T1,24,28.000789079620056
