line,time,P_line,Q_line,I_re,I_im,phi,chi
sourcebus_loadbus,0,400.0,193.72884193514102,0.4,-0.19372884193514103,15.934867429633673,0.19372884193514103
sourcebus_loadbus,1,350.0,169.51273669324837,0.35000000000000003,-0.16951273669324837,15.934867429633673,0.16951273669324837
sourcebus_loadbus,2,350.0,169.51273669324837,0.35000000000000003,-0.16951273669324837,15.934867429633673,0.16951273669324837
sourcebus_loadbus,3,400.0,193.72884193514102,0.4,-0.19372884193514103,15.934867429633673,0.19372884193514103
sourcebus_loadbus,4,500.0,242.16105241892626,0.5,-0.24216105241892627,15.934867429633673,0.24216105241892627
sourcebus_loadbus,5,700.0,339.02547338649674,0.7000000000000001,-0.33902547338649675,15.934867429633673,0.33902547338649675
sourcebus_loadbus,6,870.9475776720047,411.67378911217463,0.8709475776720048,-0.4116737891121746,15.934867429633673,0.4116737891121746
sourcebus_loadbus,7,880.0,435.8898943540673,0.88,-0.4358898943540673,15.934867429633673,0.4358898943540673
sourcebus_loadbus,8,885.9475776720047,435.8898943540673,0.8859475776720047,-0.4358898943540673,15.934867429633673,0.4358898943540673
sourcebus_loadbus,9,790.0,411.67378911217463,0.79,-0.4116737891121746,15.934867429633673,0.4116737891121746
sourcebus_loadbus,10,745.9475776720047,387.45768387028204,0.7459475776720047,-0.38745768387028207,15.934867429633673,0.38745768387028207
sourcebus_loadbus,11,680.9475776720047,363.2415786283894,0.6809475776720048,-0.3632415786283894,15.934867429633673,0.3632415786283894
sourcebus_loadbus,12,650.0,363.2415786283894,0.65,-0.3632415786283894,15.934867429633673,0.3632415786283894
sourcebus_loadbus,13,730.9475776720047,387.45768387028204,0.7309475776720048,-0.38745768387028207,15.934867429633673,0.38745768387028207
sourcebus_loadbus,14,770.0,411.67378911217463,0.77,-0.4116737891121746,15.934867429633673,0.4116737891121746
sourcebus_loadbus,15,915.9475776720047,460.1059995959599,0.9159475776720047,-0.4601059995959599,15.934867429633673,0.4601059995959599
sourcebus_loadbus,16,960.0,484.3221048378525,0.96,-0.48432210483785254,15.934867429633673,0.48432210483785254
sourcebus_loadbus,17,930.0,460.1059995959599,0.93,-0.4601059995959599,15.934867429633673,0.4601059995959599
sourcebus_loadbus,18,920.9475776720047,435.8898943540673,0.9209475776720047,-0.4358898943540673,15.934867429633673,0.4358898943540673
sourcebus_loadbus,19,850.0,411.67378911217463,0.85,-0.4116737891121746,15.934867429633673,0.4116737891121746
sourcebus_loadbus,20,825.9475776720047,387.45768387028204,0.8259475776720048,-0.38745768387028207,15.934867429633673,0.38745768387028207
sourcebus_loadbus,21,700.0,339.02547338649674,0.7000000000000001,-0.33902547338649675,15.934867429633673,0.33902547338649675
sourcebus_loadbus,22,625.9475776720047,290.5932629027115,0.6259475776720047,-0.2905932629027115,15.934867429633673,0.2905932629027115
sourcebus_loadbus,23,500.0,242.16105241892626,0.5,-0.24216105241892627,15.934867429633673,0.24216105241892627
