node,time,head
N1,0,27.995381198376123
N1,1,27.598417600971157
N1,2,27.280107714787366
N1,3,26.9608740682788
N1,4,26.56113918989951
N1,5,27.670355417981693
N1,6,27.392432843801767
N1,7,26.271560982400743
N1,8,26.732561393862103
N1,9,26.053081828669857
N1,10,26.751739537035288
N1,11,27.95970385621474
N1,12,29.213584310300895
N1,13,28.96393753489274
N1,14,29.729696998229453
N1,15,30.901065868075047
N1,16,30.505064499310983
N1,17,29.384192637909962
N1,18,28.11468454734105
N1,19,26.926489296879005
N1,20,25.899215218188694
N1,21,26.83859806723833
N1,22,28.350458562675513
N1,23,28.4055154262519
N2,0,27.995381198376123
N2,1,27.598417600971157
N2,2,27.280107714787366
N2,3,26.9608740682788
N2,4,26.56113918989951
N2,5,26.046483916407006
N2,6,27.392432843801767
N2,7,26.271560982400743
N2,8,25.04895849785954
N2,9,26.053081828669857
N2,10,25.069358164314817
N2,11,26.354261972708276
N2,12,27.668912499415576
N2,13,28.96393753489274
N2,14,28.209694574342972
N2,15,29.44465705562157
N2,16,30.505064499310983
N2,17,29.384192637909962
N2,18,28.11468454734105
N2,19,26.926489296879005
N2,20,25.899215218188694
N2,21,25.161749019307255
N2,22,26.76453067807829
N2,23,28.4055154262519
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,27.60211264227026
T1,2,27.28380275608647
T1,3,26.96549286990268
T1,4,26.56760551217294
T1,5,26.010563211351304
T1,6,27.415395782100305
T1,7,26.301311180457038
T1,8,25.028071635721876
T1,9,26.07363374983273
T1,10,25.03912661973541
T1,11,26.322631422340628
T1,12,27.635971602347283
T1,13,28.977256404648607
T1,14,28.18148168918913
T1,15,29.421936301213908
T1,16,30.528027437609524
T1,17,29.413942835966257
T1,18,28.140703291231095
T1,19,26.94704121804188
T1,20,25.912534087944557
T1,21,25.11675937248508
T1,22,26.714997361931232
T1,23,28.410134227875776
T1,24,28.012246870146036
