line,time,P_line,Q_line,I_re,I_im,phi,chi
sourcebus_loadbus,0,400.0,193.72884193514102,0.4,-0.19372884193514103,15.934867429633673,0.19372884193474652
sourcebus_loadbus,1,350.0,169.51273669324837,0.35,-0.16951273669324837,15.934867429633673,0.16951273669287886
sourcebus_loadbus,2,355.2631578947368,169.51273669324837,0.35526315789473684,-0.16951273669324837,15.934867429633673,0.16951273669287886
sourcebus_loadbus,3,450.0,193.72884193514102,0.45,-0.19372884193514103,15.934867429633673,0.19372884193475004
sourcebus_loadbus,4,500.0,242.16105241892626,0.5,-0.24216105241892627,15.934867429633673,0.24216105241856317
sourcebus_loadbus,5,750.0,339.02547338649674,0.75,-0.33902547338649675,15.934867429633673,0.3390254733861045
sourcebus_loadbus,6,870.9475776720047,411.67378911217463,0.8709475776720048,-0.4116737891121746,15.934867429633673,0.41167378911178876
sourcebus_loadbus,7,880.0,435.8898943540673,0.88,-0.4358898943540673,15.934867429633673,0.4358898943537024
sourcebus_loadbus,8,885.9475776720047,435.8898943540673,0.8859475776720047,-0.4358898943540673,15.934867429633673,0.43588989435369535
sourcebus_loadbus,9,815.9475776720047,411.67378911217463,0.8159475776720048,-0.4116737891121746,15.934867429633673,0.4116737891117746
sourcebus_loadbus,10,720.0,387.45768387028204,0.72,-0.38745768387028207,15.934867429633673,0.3874576838698822
sourcebus_loadbus,11,655.0,363.2415786283894,0.655,-0.3632415786283894,15.934867429633673,0.3632415786279969
sourcebus_loadbus,12,675.9475776720047,363.2415786283894,0.6759475776720048,-0.3632415786283894,15.934867429633673,0.36324157862801815
sourcebus_loadbus,13,730.9475776720047,387.45768387028204,0.7309475776720048,-0.38745768387028207,15.934867429633673,0.3874576838698893
sourcebus_loadbus,14,795.9475776720047,411.67378911217463,0.7959475776720047,-0.4116737891121746,15.934867429633673,15.934867429633673
sourcebus_loadbus,15,915.9475776720047,460.1059995959599,0.9159475776720047,-0.4601059995959599,15.934867429633673,0.46010599959559484
sourcebus_loadbus,16,910.0,484.3221048378525,0.91,-0.48432210483785254,15.934867429633673,0.4843221048374589
sourcebus_loadbus,17,880.0,460.1059995959599,0.88,-0.4601059995959599,31.869734859267346,0.4601059995955524
sourcebus_loadbus,18,845.0,435.8898943540673,0.845,-0.4358898943540673,15.934867429633673,0.43588989435369535
sourcebus_loadbus,19,850.0,411.67378911217463,0.85,-0.4116737891121746,15.934867429633673,0.4116737891117746
sourcebus_loadbus,20,760.0,387.45768387028204,0.76,-0.38745768387028207,15.934867429633673,0.3874576838699034
sourcebus_loadbus,21,775.9475776720047,339.02547338649674,0.7759475776720047,-0.33902547338649675,0.7759475776720048,0.3390254733862478
sourcebus_loadbus,22,605.2631578947369,290.5932629027115,0.6052631578947368,-0.2905932629027115,15.934867429633673,0.29059326290232673
sourcebus_loadbus,23,575.9475776720047,242.16105241892626,0.5759475776720048,-0.24216105241892627,15.934867429633673,0.24216105241856317
