node,time,head
N1,0,27.995381198376123
N1,1,27.598417600971157
N1,2,27.280107714787366
N1,3,26.9608740682788
N1,4,26.561139189899514
N1,5,25.99724434150313
N1,6,26.910156072886977
N1,7,26.3028648104591
N1,8,26.761956284711665
N1,9,26.083175220821232
N1,10,26.779979686246993
N1,11,27.986852733988627
N1,12,29.240079290418432
N1,13,30.513328902914708
N1,14,30.2730086292781
N1,15,30.892999439612748
N1,16,30.496920504253023
N1,17,29.376048642852
N1,18,28.106540552283093
N1,19,26.918345301821045
N1,20,25.89107122313073
N1,21,26.830955604253127
N1,22,26.701625509678117
N1,23,27.894405276151986
N2,0,27.995381198376123
N2,1,27.598417600971153
N2,2,27.280107714787366
N2,3,26.9608740682788
N2,4,26.561139189899514
N2,5,25.99724434163496
N2,6,25.237864805606783
N2,7,26.3028648104591
N2,8,25.080225652451247
N2,9,26.083175220821232
N2,10,25.099397027794137
N2,11,26.383140057839938
N2,12,27.696673898540705
N2,13,29.034268369414605
N2,14,30.2730086292781
N2,15,29.436119383755134
N2,16,30.496920504253023
N2,17,29.376048642852
N2,18,28.106540552283093
N2,19,26.918345301821045
N2,20,25.89107122313073
N2,21,25.153619781018275
N2,22,26.701625509678117
N2,23,26.28480429678759
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,27.602112642270257
T1,2,27.28380275608647
T1,3,26.96549286990268
T1,4,26.567605512172943
T1,5,26.01056321135131
T1,6,25.214788495891835
T1,7,26.332615008515393
T1,8,25.05937546378023
T1,9,26.103727141984105
T1,10,25.069220011886785
T1,11,26.351561929017297
T1,12,27.663784160411808
T1,13,29.003977940590648
T1,14,30.288738516169637
T1,15,29.41338632916421
T1,16,30.519883442551563
T1,17,29.405798840908297
T1,18,28.132559296173135
T1,19,26.93889722298392
T1,20,25.904390092886597
T1,21,25.10861537742712
T1,22,26.70716807162677
T1,23,26.229703242351086
T1,24,28.023197145721948
