link,time,flow_rate
P1,0,0.06672805054859497
P1,1,0.0
P1,2,0.0
P1,3,0.0
P1,4,0.0
P1,5,0.06656909952850175
P1,6,0.0
P1,7,0.0
P1,8,0.0
P1,9,0.06928726720766196
P1,10,0.0
P1,11,0.0
P1,12,0.07004910012657437
P1,13,0.0
P1,14,0.06930332543030558
P1,15,0.06772969629999967
P1,16,0.0
P1,17,0.06763842335702351
P1,18,0.0
P1,19,0.0
P1,20,0.0
P1,21,0.07014432430128345
P1,22,0.0
P1,23,0.06881509274576317
P2,0,0.054228050548595017
P2,1,-0.010000000000000002
P2,2,-0.010000000000000002
P2,3,-0.0125
P2,4,-0.017499999999999998
P2,5,0.04156909952850175
P2,6,-0.03499999884109203
P2,7,-0.039999999999999994
P2,8,-0.037500000000000006
P2,9,0.03678726720766196
P2,10,-0.03
P2,11,-0.027500000000000004
P2,12,0.04504910012657437
P2,13,-0.025
P2,14,0.04180332543030558
P2,15,0.037729696299999664
P2,16,-0.034999999999999996
P2,17,0.027638423357023507
P2,18,-0.037500000000000006
P2,19,-0.03249999911952167
P2,20,-0.02499999968204747
P2,21,0.05014432430128345
P2,22,-0.015000000000000156
P2,23,0.05631509274576317
PU1,0,0.06672805054859497
PU1,1,0.0
PU1,2,0.0
PU1,3,0.0
PU1,4,0.0
PU1,5,0.06656909952850175
PU1,6,0.0
PU1,7,0.0
PU1,8,0.0
PU1,9,0.06928726720766196
PU1,10,0.0
PU1,11,0.0
PU1,12,0.07004910012657437
PU1,13,0.0
PU1,14,0.06930332543030558
PU1,15,0.06772969629999967
PU1,16,0.0
PU1,17,0.06763842335702351
PU1,18,0.0
PU1,19,0.0
PU1,20,0.0
PU1,21,0.07014432430128345
PU1,22,0.0
PU1,23,0.06881509274576317
