line,time,P_line,Q_line,I_re,I_im,phi,chi
sourcebus_loadbus,0,40.0,19.372884193514103,0.04,-0.019372884193514104,15.934867429633673,15.934867429633673
sourcebus_loadbus,1,35.0,16.951273669324838,0.035,-0.016951273669324838,15.934867429633673,15.934867429633673
sourcebus_loadbus,2,59.265927977228884,16.951273669324838,0.059265927977228884,-0.016951273669324838,15.934867429633673,0.016951273669324838
sourcebus_loadbus,3,40.0,19.372884193514103,0.04,-0.019372884193514104,15.934867429633673,15.934867429633673
sourcebus_loadbus,4,50.00000000049002,24.216105241892627,0.05000000000049002,-0.02421610524189263,15.934867429633673,0.02421610524189263
sourcebus_loadbus,5,70.0,33.902547338649676,0.07,-0.033902547338649676,15.934867429633673,15.934867429633673
sourcebus_loadbus,6,70.0,41.16737891121747,0.07,-0.04116737891121747,15.934867429633673,0.04116737891121747
sourcebus_loadbus,7,0.0,43.58898943540673,0.0,-0.04358898943540673,15.934867429633673,15.934867429633673
sourcebus_loadbus,8,0.0,43.58898943540673,0.0,-0.04358898943540673,15.934867429633673,15.934867429633673
sourcebus_loadbus,9,-35.0,41.16737891121747,-0.035,-0.04116737891121747,15.934867429633673,0.04116737891121747
sourcebus_loadbus,10,-43.52368421052631,38.74576838702821,-0.04352368421052631,-0.03874576838702821,15.934867429633673,15.934867429633673
sourcebus_loadbus,11,-39.05,36.32415786283894,-0.03905,-0.036324157862838935,15.934867429633673,15.934867429633673
sourcebus_loadbus,12,-49.05,36.32415786283894,-0.049049999999999996,-0.036324157862838935,15.934867429633673,15.934867429633673
sourcebus_loadbus,13,-34.05,38.74576838702821,-0.03405,-0.03874576838702821,15.934867429633673,15.934867429633673
sourcebus_loadbus,14,-25.0,41.16737891121747,-0.025,-0.04116737891121747,15.934867429633673,15.934867429633673
sourcebus_loadbus,15,0.9500000000000028,46.01059995959599,0.0009500000000000028,-0.04601059995959599,15.934867429633673,15.934867429633673
sourcebus_loadbus,16,0.0,48.432210483785255,0.0,-0.04843221048378526,15.934867429633673,0.04843221048378526
sourcebus_loadbus,17,55.0,46.01059995959599,0.055,-0.04601059995959599,15.934867429633673,15.934867429633673
sourcebus_loadbus,18,52.87499999999997,43.58898943540673,0.05287499999999997,-0.04358898943540673,15.934867429633673,15.934867429633673
sourcebus_loadbus,19,70.0,41.16737891121747,0.07,-0.04116737891121747,15.934867429633673,15.934867429633673
sourcebus_loadbus,20,70.0,38.74576838702821,0.07,-0.03874576838702821,15.934867429633673,15.934867429633673
sourcebus_loadbus,21,70.0,33.902547338649676,0.07,-0.033902547338649676,15.934867429633673,15.934867429633673
sourcebus_loadbus,22,70.0,29.05932629027115,0.07,-0.02905932629027115,15.934867429633673,15.934867429633673
sourcebus_loadbus,23,70.0,24.216105241892627,0.07,-0.02421610524189263,15.934867429633673,15.934867429633673
