line,time,P_line,Q_line,I_re,I_im,phi,chi
sourcebus_loadbus,0,40.0,19.372884193514103,0.04,-0.019372884193514104,15.934867429633673,15.934867429633673
sourcebus_loadbus,1,25.95000000000001,16.951273669324838,0.02595000000000001,-0.016951273669324838,15.934867429633673,15.934867429633673
sourcebus_loadbus,2,35.0,16.951273669324838,0.035,-0.016951273669324838,15.934867429633673,0.016951273669324838
sourcebus_loadbus,3,40.0,19.372884193514103,0.04,-0.019372884193514104,15.934867429633673,15.934867429633673
sourcebus_loadbus,4,50.0,24.216105241892627,0.05,-0.02421610524189263,15.934867429633673,0.02421610524189263
sourcebus_loadbus,5,95.95,33.902547338649676,0.09595000000000001,-0.033902547338649676,15.934867429633673,15.934867429633673
sourcebus_loadbus,6,75.0,41.16737891121747,0.075,-0.04116737891121747,15.934867429633673,0.04116737891121747
sourcebus_loadbus,7,-1.4210854715202004e-14,43.58898943540673,-1.4210854715202004e-17,-0.04358898943540673,0.0,15.934867429633673
sourcebus_loadbus,8,0.0,43.58898943540673,0.0,-0.04358898943540673,0.0,0.04358898943540673
sourcebus_loadbus,9,0.0,41.16737891121747,0.0,-0.04116737891121747,15.934867429633673,0.04116737891121747
sourcebus_loadbus,10,0.0,38.74576838702821,0.0,-0.03874576838702821,15.934867429633673,15.934867429633673
sourcebus_loadbus,11,0.0,36.32415786283894,0.0,-0.036324157862838935,15.934867429633673,0.036324157862838935
sourcebus_loadbus,12,0.0,36.32415786283894,0.0,-0.036324157862838935,15.934867429633673,0.036324157862838935
sourcebus_loadbus,13,0.0,38.74576838702821,0.0,-0.03874576838702821,15.934867429633673,0.03874576838702821
sourcebus_loadbus,14,0.0,41.16737891121747,0.0,-0.04116737891121747,0.0,0.04116737891121747
sourcebus_loadbus,15,0.950000000000003,46.01059995959599,0.0009500000000000029,-0.04601059995959599,15.934867429633673,0.04601059995959599
sourcebus_loadbus,16,0.0,48.432210483785255,0.0,-0.04843221048378526,15.934867429633673,15.934867429633673
sourcebus_loadbus,17,5.0,46.01059995959599,0.005,-0.04601059995959599,0.0049999999999999975,15.934867429633673
sourcebus_loadbus,18,30.0,43.58898943540673,0.03,-0.04358898943540673,0.03,15.934867429633673
sourcebus_loadbus,19,35.0,41.16737891121747,0.035,-0.04116737891121747,0.035,0.04116737891121747
sourcebus_loadbus,20,59.99999999999998,38.74576838702821,0.05999999999999998,-0.03874576838702821,15.934867429633673,15.934867429633673
sourcebus_loadbus,21,101.21315789473684,33.902547338649676,0.10121315789473684,-0.033902547338649676,15.934867429633673,0.033902547338649676
sourcebus_loadbus,22,110.0,29.05932629027115,0.11,-0.02905932629027115,15.934867429633673,0.02905932629027115
sourcebus_loadbus,23,125.95,24.216105241892627,0.12595,-0.02421610524189263,15.934867429633673,15.934867429633673
