node,time,head
N1,0,27.995381198376123
N1,1,27.598417600971157
N1,2,27.28010771478737
N1,3,26.9608740682788
N1,4,26.561139189899514
N1,5,25.99724434159544
N1,6,26.91015607289568
N1,7,26.302864810495237
N1,8,26.76195628467447
N1,9,26.08317522082436
N1,10,26.779979686249945
N1,11,27.98685273399684
N1,12,29.24007929042117
N1,13,30.513328902917337
N1,14,30.27300862928075
N1,15,30.892999439615263
N1,16,30.496920504255566
N1,17,29.37604864285454
N1,18,28.10654055228563
N1,19,26.918345301823585
N1,20,25.891071223133274
N1,21,26.830955604255493
N1,22,28.3430001731809
N1,23,28.397993260842973
N2,0,27.995381198376123
N2,1,27.598417600971153
N2,2,27.28010771478737
N2,3,26.9608740682788
N2,4,26.561139189899514
N2,5,25.99724434159544
N2,6,25.23786480561828
N2,7,26.302864810495237
N2,8,25.08022565248695
N2,9,26.08317522082436
N2,10,25.099397027797792
N2,11,26.38314005783772
N2,12,27.69667389854357
N2,13,29.03426836941738
N2,14,30.27300862928075
N2,15,29.436119383757777
N2,16,30.496920504255566
N2,17,29.37604864285454
N2,18,28.10654055228563
N2,19,26.918345301823585
N2,20,25.891071223133274
N2,21,25.153619781020808
N2,22,26.75671578911925
N2,23,28.39799326084299
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,27.602112642270257
T1,2,27.283802756086473
T1,3,26.96549286990268
T1,4,26.567605512172943
T1,5,26.01056321135131
T1,6,25.21478849589183
T1,7,26.33261500855153
T1,8,25.05937546381637
T1,9,26.10372714198723
T1,10,25.06922001188991
T1,11,26.3515619290203
T1,12,27.66378416041468
T1,13,29.00397794059343
T1,14,30.288738516172288
T1,15,29.413386329166865
T1,16,30.519883442554107
T1,17,29.405798840910837
T1,18,28.13255929617567
T1,19,26.93889722298646
T1,20,25.90439009288914
T1,21,25.10861537742966
T1,22,26.707168071629205
T1,23,28.40261206246685
T1,24,28.004724704737114
