link,time,flow_rate
P1,0,-1.1161179193627623e-16
P1,1,1.1858752893229348e-16
P1,2,6.975736996017264e-18
P1,3,-4.8830158972120846e-17
P1,4,1.743934249004316e-16
P1,5,-9.766031794424169e-17
P1,6,0.07006905217631124
P1,7,0.06876175844357993
P1,8,-3.487868498008632e-17
P1,9,-2.6507800584865604e-16
P1,10,0.07029185867020384
P1,11,7.324523845818127e-17
P1,12,0.06980446370780098
P1,13,0.0681197913034061
P1,14,0.06643893320185681
P1,15,0.06456712041602689
P1,16,1.3951473992034528e-17
P1,17,-3.0693242782475963e-16
P1,18,7.673310695618991e-17
P1,19,-4.1854421976103585e-17
P1,20,-9.766031794424169e-17
P1,21,0.07011633650435244
P1,22,0.06822567088952287
P1,23,6.278163296415537e-17
P2,0,-0.012500000000000112
P2,1,-0.009999999999999884
P2,2,-0.009999999999999995
P2,3,-0.01250000000000005
P2,4,-0.017499999999999825
P2,5,-0.0250000000000001
P2,6,0.03506905217631124
P2,7,0.02876175844357992
P2,8,-0.03750000000000004
P2,9,-0.032500000000000265
P2,10,0.04029185867020384
P2,11,-0.02749999999999993
P2,12,0.04480446370780098
P2,13,0.0431197913034061
P2,14,0.03893893320185681
P2,15,0.034567120416026886
P2,16,-0.03499999999999998
P2,17,-0.04000000000000031
P2,18,-0.03749999999999993
P2,19,-0.03250000000000004
P2,20,-0.0250000000000001
P2,21,0.05011633650435243
P2,22,0.053225670889522875
P2,23,-0.012499999999999938
PU1,0,-1.1161179193627623e-16
PU1,1,1.1858752893229348e-16
PU1,2,6.975736996017264e-18
PU1,3,-4.8830158972120846e-17
PU1,4,1.743934249004316e-16
PU1,5,-9.766031794424169e-17
PU1,6,0.07006905217631124
PU1,7,0.06876175844357993
PU1,8,-3.487868498008632e-17
PU1,9,-2.6507800584865604e-16
PU1,10,0.07029185867020384
PU1,11,7.324523845818127e-17
PU1,12,0.06980446370780098
PU1,13,0.0681197913034061
PU1,14,0.06643893320185681
PU1,15,0.06456712041602689
PU1,16,1.3951473992034528e-17
PU1,17,-3.0693242782475963e-16
PU1,18,7.673310695618991e-17
PU1,19,-4.1854421976103585e-17
PU1,20,-9.766031794424169e-17
PU1,21,0.07011633650435244
PU1,22,0.06822567088952287
PU1,23,6.278163296415537e-17
